token_pos,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26
56,4,0,5,3,12,11,8,3,1,11,0,7,1,4,16,16,15,30,14,7,12,11,6,14,1,24
57,6,35,3,33,4,13,11,11,13,9,2,5,10,19,24,6,2,14,1,10,1,0,1,1,3,11
58,6,2,3,1,8,13,11,11,4,5,2,16,5,39,25,18,3,0,2,0,24,36,1,16,0,14
59,5,5,6,6,3,7,0,15,18,24,21,0,1,1,18,0,21,9,17,7,20,6,9,11,5,0
60,8,3,6,21,9,7,3,0,28,24,20,0,1,1,18,0,21,3,7,7,3,6,15,16,16,1
61,2,18,3,0,13,3,11,13,7,10,27,18,16,31,14,6,27,3,16,26,3,0,5,15,6,11
62,34,0,5,2,11,1,11,0,24,9,4,5,16,0,6,6,2,14,1,7,3,0,14,12,23,9
63,14,2,17,32,2,4,11,13,5,10,27,1,16,14,14,1,32,1,5,7,3,6,22,0,16,1
64,10,26,3,0,2,2,1,9,7,10,13,8,26,8,14,7,18,3,8,21,22,12,10,2,11,0
65,5,2,10,17,27,16,19,3,1,24,7,0,1,1,13,2,4,10,38,7,3,36,1,13,0,3
66,10,5,13,8,3,0,0,18,20,9,19,0,1,1,18,3,1,9,17,7,3,6,4,13,5,3
67,10,3,0,0,13,3,1,15,4,14,13,21,2,1,12,9,4,11,8,3,7,15,2,0,11,0
68,24,3,15,8,8,0,1,21,21,9,6,6,19,1,13,11,4,9,17,7,3,6,8,16,9,0
69,32,9,25,20,7,4,0,1,21,8,21,6,7,16,1,2,11,7,18,7,3,6,9,13,5,6
70,22,0,10,16,17,1,2,0,2,9,0,9,19,1,13,22,4,9,4,7,3,17,29,16,41,15
71,10,1,37,20,3,4,0,2,21,10,21,1,19,6,9,1,11,7,17,3,3,2,17,13,5,6
72,2,3,20,7,2,3,7,1,7,10,13,18,19,8,18,2,22,5,8,3,20,12,10,9,3,0
73,9,9,25,17,23,4,1,5,2,10,12,2,7,6,2,8,2,4,17,7,3,4,17,13,5,6
74,0,3,6,10,11,1,2,22,21,10,25,2,7,6,2,8,2,9,1,6,3,2,25,16,14,8
75,2,26,3,0,13,3,11,13,7,10,13,11,16,8,40,6,7,10,8,3,3,12,18,3,13,0
76,4,0,5,16,12,12,21,3,1,11,0,7,19,1,13,10,2,9,17,7,3,6,1,9,20,9
77,15,9,16,16,23,4,2,2,2,3,5,2,7,13,2,31,2,7,1,27,3,0,16,13,5,6
78,28,0,5,2,11,23,2,25,0,3,4,2,7,0,2,6,2,1,1,11,3,0,13,1,14,6
79,9,26,8,0,4,3,11,13,5,10,18,11,16,0,11,6,23,1,1,13,2,3,3,8,31,11
80,11,4,8,0,2,3,11,16,5,10,27,11,16,44,18,6,2,3,17,3,3,6,13,2,13,8
81,4,0,1,11,17,11,17,12,5,3,0,7,19,4,15,10,2,1,1,7,3,6,4,9,14,3
82,12,25,1,11,17,11,17,12,2,3,0,9,19,4,2,10,2,4,1,7,3,6,12,16,14,6
83,5,16,16,6,0,8,25,12,2,3,0,9,7,4,2,10,2,4,1,7,3,6,18,9,14,6
84,15,9,25,16,23,4,2,0,2,3,5,2,7,13,2,0,2,4,1,7,3,0,4,13,14,6
85,6,17,3,11,7,3,11,16,6,8,14,11,16,6,1,6,24,3,5,3,2,6,10,16,14,8
86,2,26,8,0,2,2,1,22,5,10,13,11,53,8,14,19,7,5,8,3,7,1,18,3,15,0
87,4,0,5,3,12,11,8,3,1,11,0,7,1,4,4,11,25,30,14,22,14,11,6,14,1,24
88,4,8,0,3,12,11,6,6,1,17,8,7,1,9,0,15,25,30,14,15,17,11,7,22,2,9
89,4,8,0,3,12,11,8,8,1,11,8,7,1,4,0,15,15,40,14,8,12,21,6,14,1,9
90,0,14,7,11,20,1,17,18,41,11,1,13,1,14,18,1,16,27,10,7,14,6,22,12,4,1
91,2,27,11,0,30,2,1,4,4,10,13,9,1,1,25,7,8,14,36,0,3,36,1,1,0,3
92,5,5,6,6,1,1,12,0,18,6,6,9,1,21,7,0,8,20,17,0,3,6,15,15,12,2
93,10,24,19,6,7,2,0,15,10,10,18,1,1,34,1,0,22,5,4,0,10,6,2,9,5,0
94,24,9,19,17,23,10,9,18,20,24,6,9,1,1,14,0,4,9,17,7,3,6,1,16,2,0
95,10,9,52,20,3,0,0,5,21,10,21,6,4,1,1,21,11,7,17,7,3,6,17,13,5,6
96,0,3,6,4,0,8,3,0,28,24,11,10,0,6,2,1,2,9,7,6,2,4,30,2,14,8
97,3,17,12,7,0,2,7,1,9,10,11,4,36,6,5,16,18,1,8,2,5,15,7,12,32,0
98,1,2,6,5,0,8,9,0,28,4,20,10,16,6,2,1,16,9,16,7,3,6,4,13,14,8
99,2,1,20,7,2,3,7,1,7,4,13,18,16,8,14,20,37,3,20,21,0,6,14,9,20,0
